15.03.2023 14:47:59: SourceFile=Hata, TargetFile=Mesajı, Status=False, Hata Mesajı = Girilen Dosya Yolu Bulunamadı..
15.03.2023 14:48:25: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\g\test\Trendyol.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:30: SourceFile=b.zip, TargetFile=E:\g\test\b.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:30: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
15.03.2023 14:48:30: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 0
15.03.2023 14:48:30: SourceFile=C:\b\Bidding.zip, TargetFile=E:\g\test\Bidding.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:30: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\g\test\FileManagement.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:30: SourceFile=C:\b\forms.zip, TargetFile=E:\g\test\forms.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:33: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\g\test\PdfWriter.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:33: SourceFile=C:\b\to-do.zip, TargetFile=E:\g\test\to-do.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:33: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\g\test\Trendyol.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:27: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
15.03.2023 14:50:29: SourceFile=b.zip, TargetFile=E:\a\b.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:29: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
15.03.2023 14:50:29: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
15.03.2023 14:50:29: SourceFile=C:\b\Bidding.zip, TargetFile=E:\a\Bidding.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:29: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\a\FileManagement.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:29: SourceFile=C:\b\forms.zip, TargetFile=E:\a\forms.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:30: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\a\PdfWriter.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:30: SourceFile=C:\b\to-do.zip, TargetFile=E:\a\to-do.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:30: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\a\Trendyol.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:33: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
15.03.2023 14:50:33: SourceFile=b.zip, TargetFile=E:\a\b-20230315145033.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:33: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
15.03.2023 14:50:33: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
15.03.2023 14:50:33: SourceFile=C:\b\Bidding.zip, TargetFile=E:\a\Bidding-20230315145033.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:33: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\a\FileManagement-20230315145033.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:33: SourceFile=C:\b\forms.zip, TargetFile=E:\a\forms-20230315145033.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:34: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\a\PdfWriter-20230315145034.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:34: SourceFile=C:\b\to-do.zip, TargetFile=E:\a\to-do-20230315145034.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:34: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\a\Trendyol-20230315145034.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:40: SourceFile=Hata, TargetFile=Mesajı, Status=False, Hata Mesajı = Girilen Dosya Yolu Bulunamadı..
15.03.2023 14:50:46: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
15.03.2023 14:50:46: SourceFile=b.zip, TargetFile=E:\a\b-20230315145046.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:46: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
15.03.2023 14:50:46: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 0
15.03.2023 14:50:46: SourceFile=C:\b\Bidding.zip, TargetFile=E:\a\Bidding-20230315145046.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:46: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\a\FileManagement-20230315145046.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:46: SourceFile=C:\b\forms.zip, TargetFile=E:\a\forms-20230315145046.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:49: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\a\PdfWriter-20230315145049.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:49: SourceFile=C:\b\to-do.zip, TargetFile=E:\a\to-do-20230315145049.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:49: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\a\Trendyol-20230315145049.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:54: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
15.03.2023 14:50:54: SourceFile=b.zip, TargetFile=E:\a\b.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:54: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
15.03.2023 14:50:54: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 0
15.03.2023 14:50:54: SourceFile=C:\b\Bidding.zip, TargetFile=E:\a\Bidding.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:55: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\a\FileManagement.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:55: SourceFile=C:\b\forms.zip, TargetFile=E:\a\forms.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:58: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\a\PdfWriter.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:58: SourceFile=C:\b\to-do.zip, TargetFile=E:\a\to-do.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:50:58: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\a\Trendyol.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:51:01: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
15.03.2023 14:51:01: SourceFile=b.zip, TargetFile=E:\a\b.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:51:01: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
15.03.2023 14:51:01: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 2
15.03.2023 14:51:01: SourceFile=C:\b\Bidding.zip, TargetFile=E:\a\Bidding.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:51:01: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\a\FileManagement.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:51:01: SourceFile=C:\b\forms.zip, TargetFile=E:\a\forms.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:51:01: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\a\PdfWriter.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:51:01: SourceFile=C:\b\to-do.zip, TargetFile=E:\a\to-do.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:51:01: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\a\Trendyol.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:51:04: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
15.03.2023 14:51:04: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 2
15.03.2023 14:51:04: SourceFile=C:\b\Bidding.zip, TargetFile=E:\a\Bidding-20230315145104.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:51:05: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\a\FileManagement-20230315145105.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:51:05: SourceFile=C:\b\forms.zip, TargetFile=E:\a\forms-20230315145105.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:51:05: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\a\PdfWriter-20230315145105.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:51:05: SourceFile=C:\b\to-do.zip, TargetFile=E:\a\to-do-20230315145105.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:51:05: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\a\Trendyol-20230315145105.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:53:46: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
15.03.2023 14:53:55: SourceFile=a.zip, TargetFile=C:\b\a-20230315145355.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:53:55: SourceFile=a.zip, TargetFile=E:\a, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
15.03.2023 14:53:55: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 0
15.03.2023 14:53:55: SourceFile=E:\a\Bidding.zip, TargetFile=C:\b\Bidding-20230315145355.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:53:56: SourceFile=E:\a\FileManagement.zip, TargetFile=C:\b\FileManagement-20230315145356.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:53:56: SourceFile=E:\a\forms.zip, TargetFile=C:\b\forms-20230315145356.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:54:03: SourceFile=E:\a\PdfWriter.zip, TargetFile=C:\b\PdfWriter-20230315145403.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:54:03: SourceFile=E:\a\to-do.zip, TargetFile=C:\b\to-do-20230315145403.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:54:03: SourceFile=E:\a\Trendyol.zip, TargetFile=C:\b\Trendyol-20230315145403.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:55:33: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
15.03.2023 14:55:38: SourceFile=a.zip, TargetFile=C:\b\a.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:55:38: SourceFile=a.zip, TargetFile=E:\a, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
15.03.2023 14:55:38: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 0
15.03.2023 14:55:38: SourceFile=E:\a\Bidding.zip, TargetFile=C:\b\Bidding.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:55:38: SourceFile=E:\a\FileManagement.zip, TargetFile=C:\b\FileManagement.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:55:38: SourceFile=E:\a\forms.zip, TargetFile=C:\b\forms.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:55:41: SourceFile=E:\a\PdfWriter.zip, TargetFile=C:\b\PdfWriter.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:55:41: SourceFile=E:\a\to-do.zip, TargetFile=C:\b\to-do.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:55:41: SourceFile=E:\a\Trendyol.zip, TargetFile=C:\b\Trendyol.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:15:21: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:15:30: SourceFile=b.zip, TargetFile=E:\g\bb\b-20230316091529.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:15:30: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:15:30: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 09:15:30: SourceFile=C:\b\Bidding.zip, TargetFile=E:\g\bb\Bidding-20230316091530.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:15:31: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\g\bb\FileManagement-20230316091531.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:15:31: SourceFile=C:\b\forms.zip, TargetFile=E:\g\bb\forms-20230316091531.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:15:36: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\g\bb\PdfWriter-20230316091536.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:15:36: SourceFile=C:\b\to-do.zip, TargetFile=E:\g\bb\to-do-20230316091536.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:15:37: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\g\bb\Trendyol-20230316091537.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:15:40: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:15:47: SourceFile=b.zip, TargetFile=E:\g\bb\b-20230316091547.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:15:47: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:15:47: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 09:15:47: SourceFile=C:\b\Bidding.zip, TargetFile=E:\g\bb\Bidding-20230316091547.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:15:47: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\g\bb\FileManagement-20230316091547.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:15:47: SourceFile=C:\b\forms.zip, TargetFile=E:\g\bb\forms-20230316091547.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:15:49: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\g\bb\PdfWriter-20230316091549.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:15:49: SourceFile=C:\b\to-do.zip, TargetFile=E:\g\bb\to-do-20230316091549.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:15:49: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\g\bb\Trendyol-20230316091549.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:19:26: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:19:26: SourceFile=Desktop.zip, TargetFile=E:\desktop\Desktop-20230316091926.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:19:26: SourceFile=Desktop.zip, TargetFile=C:\Users\Furkan\Desktop, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:19:26: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 09:19:58: SourceFile=C:\Users\Furkan\Desktop\development.zip, TargetFile=E:\desktop\development-20230316091958.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:21:33: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:21:40: SourceFile=b.zip, TargetFile=E:\double\b-20230316092140.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:21:40: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:21:40: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 09:21:40: SourceFile=C:\b\Bidding.zip, TargetFile=E:\double\Bidding-20230316092140.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:21:40: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\double\FileManagement-20230316092140.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:21:40: SourceFile=C:\b\forms.zip, TargetFile=E:\double\forms-20230316092140.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:21:42: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\double\PdfWriter-20230316092142.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:21:42: SourceFile=C:\b\to-do.zip, TargetFile=E:\double\to-do-20230316092142.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:21:42: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\double\Trendyol-20230316092142.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:23:52: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:24:00: SourceFile=b.zip, TargetFile=E:\double\aaa\b-20230316092400.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:24:00: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
